Name,Time,Fine
vishal,2025-06-08 15:48:00.473659,5800
vishal,2025-06-08 15:48:01.669635,5900
vishal,2025-06-08 15:48:02.700816,6000
vishal,2025-06-08 15:48:03.764805,6100
vishal,2025-06-08 15:48:04.899973,6200
vishal,2025-06-08 15:48:06.004947,6300
vishal,2025-06-08 15:48:07.041857,6400
vishal,2025-06-08 15:48:08.084178,6500
vishal,2025-06-08 15:48:09.140819,6600
vishal,2025-06-08 15:48:10.183567,6700
vishal,2025-06-08 15:48:11.235504,6800
vishal,2025-06-08 15:48:12.307233,6900
vishal,2025-06-08 15:48:13.383533,7000
vishal,2025-06-08 15:48:14.425156,7100
vishal,2025-06-08 15:48:15.530302,7200
vishal,2025-06-08 15:48:16.599143,7300
vishal,2025-06-08 15:48:17.714350,7400
vishal,2025-06-08 15:48:18.858359,7500
vishal,2025-06-08 15:48:20.007305,7600
vishal,2025-06-08 15:48:21.294967,7700
vishal,2025-06-08 15:48:22.350743,7800
vishal,2025-06-08 15:48:23.393913,7900
vishal,2025-06-08 15:48:24.461996,8000
vishal,2025-06-08 15:48:25.530758,8100
vishal,2025-06-08 15:48:26.585380,8200
vishal,2025-06-08 15:48:27.615271,8300
vishal,2025-06-08 15:48:29.002169,8400
vishal,2025-06-08 15:48:31.886271,8500
vishal,2025-06-08 15:48:33.070361,8600
vishal,2025-06-08 15:48:34.174494,8700
vishal,2025-06-08 15:48:35.337484,8800
vishal,2025-06-08 15:48:36.578296,8900
vishal,2025-06-08 15:48:37.753658,9000
vishal,2025-06-08 15:48:38.838521,9100
vishal,2025-06-08 15:48:39.996052,9200
vishal,2025-06-08 15:48:41.077253,9300
vishal,2025-06-08 15:48:42.247621,9400
vishal,2025-06-08 15:48:43.299877,9500
vishal,2025-06-08 15:48:44.350116,9600
vishal,2025-06-08 15:48:45.515304,9700
vishal,2025-06-08 15:48:46.677945,9800
vishal,2025-06-08 15:48:47.740235,9900
vishal,2025-06-08 15:48:49.387435,10000
vishal,2025-06-08 15:48:50.791999,10100
vishal,2025-06-08 15:48:51.996286,10200
sai ram,2025-06-08 15:48:53.425753,700
vishal,2025-06-08 15:48:54.611635,10300
vishal,2025-06-08 15:48:56.583156,10400
vishal,2025-06-08 15:48:57.681587,10500
sai ram,2025-06-08 15:49:00.685601,800
vishal,2025-06-08 15:49:01.823133,10600
vishal,2025-06-08 15:49:03.234695,10700
vishal,2025-06-08 15:49:04.424646,10800
vishal,2025-06-08 15:49:05.464799,10900
vishal,2025-06-08 15:49:06.544194,11000
vishal,2025-06-08 15:49:07.737676,11100
vishal,2025-06-08 15:49:08.905924,11200
vishal,2025-06-08 15:49:10.065429,11300
vishal,2025-06-08 15:49:11.130071,11400
vishal,2025-06-08 15:49:12.313283,11500
vishal,2025-06-08 15:49:13.481615,11600
vishal,2025-06-08 15:49:14.574634,11700
vishal,2025-06-08 15:49:18.054432,11800
vishal,2025-06-08 15:49:19.162780,11900
vishal,2025-06-08 15:49:20.275953,12000
vishal,2025-06-08 15:49:21.981063,12100
vishal,2025-06-08 15:49:23.033911,12200
vishal,2025-06-08 15:49:24.083507,12300
vishal,2025-06-08 15:49:25.136352,12400
vishal,2025-06-08 15:49:26.240632,12500
vishal,2025-06-08 15:49:27.476322,12600
vishal,2025-06-08 15:49:28.508958,12700
vishal,2025-06-08 15:49:29.568529,12800
vishal,2025-06-08 15:49:30.641742,12900
